source,index,id,isim,brand,status,reasons
branded,1350,8692971024349,İçim Kaymaksız yoğurt,İçim,suspect,suspect_duplicate_name_brand
branded,1363,8690504424703,İçim Süzme Yoğurt,İçim,suspect,suspect_duplicate_name_brand
branded,1399,8699270011773,Kahve Dünyası Bonte sütlü,Kahve Dünyası,suspect,suspect_duplicate_name_brand
branded,1438,86903462,Kayisi nektari,,suspect,suspect_macro_kcal_mismatch
branded,1441,8692971430256,Kaşar peyniri,,suspect,suspect_duplicate_name_brand
branded,1453,8682530221968,Kellogg'S Granola,Kellogg'S,suspect,suspect_duplicate_name_brand
branded,1489,8693342005219,Keskinoğlu Piliç Yaprak Döner,Keskinoğlu,suspect,suspect_duplicate_name_brand
branded,1550,8692971420608,Komagene Ayran,Komagene,suspect,suspect_duplicate_name_brand
branded,1562,8695077002907,Krem peynir,,suspect,suspect_duplicate_name_brand
branded,1581,8696027017910,Kühne Hardal,Kühne,suspect,suspect_duplicate_name_brand
branded,1596,8699118024897,Labne,,suspect,suspect_duplicate_name_brand
branded,1612,8690624105315,Lay's Fırından,Lay'S,suspect,suspect_duplicate_name_brand
branded,1615,8690624101874,Lay'S Klasik,Lay'S,suspect,suspect_duplicate_name_brand
branded,1641,8696425016058,Lezita Chicken breast,Lezita,suspect,suspect_macro_kcal_mismatch
branded,1652,8695077138996,Lezzet-I Efsane Basmati Pirinç,Lezzet-I Efsane,suspect,suspect_duplicate_name_brand
branded,1667,8690723383300,Limonata,,suspect,suspect_duplicate_name_brand
branded,1673,8690574000821,Lipton ice tea (peach),Lipton,suspect,suspect_duplicate_name_brand
branded,1710,8690637849312,Maras usulu,,suspect,suspect_macro_kcal_mismatch
branded,1713,8697471729039,Maret Hindi Sosis,Maret,suspect,suspect_duplicate_name_brand
branded,1737,8690508601834,Mayonez,,suspect,suspect_duplicate_name_brand
branded,1745,8690504083313,Mcvities Saklıköy,Mcvities,suspect,suspect_duplicate_name_brand
branded,1801,8691316526012,Migros Ayran,Migros,suspect,suspect_duplicate_name_brand
branded,1814,8693374228884,Migros Jasmine Pirinç,Migros,suspect,suspect_duplicate_name_brand
branded,1820,8690724060149,Migros Kaşar,Migros,suspect,suspect_duplicate_name_brand
branded,1847,8690559007890,Migros Ton Balığı,Migros,suspect,suspect_duplicate_name_brand
branded,1853,8692971429359,Migros Yarım Yağlı Süt,Migros,suspect,suspect_duplicate_name_brand
branded,1859,8692462002528,Migros Yoğurt,Migros,suspect,suspect_duplicate_name_brand
branded,1860,8684000450724,Migros Yoğurt,Migros,suspect,suspect_duplicate_name_brand
branded,1861,8683771982014,Migros Yoğurt,Migros,suspect,suspect_duplicate_name_brand
branded,1868,8690527110034,Milföy hamuru,,suspect,suspect_duplicate_name_brand
branded,1916,8595685202235,Mixit Protein Müsli,Mixit,suspect,suspect_duplicate_name_brand
branded,2018,8690632017839,Nestle,Nestle,suspect,suspect_duplicate_name_brand
branded,2019,8690632018133,Nestle,Nestle,suspect,suspect_duplicate_name_brand
branded,2022,8690632246406,Nestle 1927 Sütlü Çikolata,Nestle,suspect,suspect_duplicate_name_brand
branded,2047,8697462700047,Netto Peach nectar,Netto,suspect,suspect_macro_kcal_mismatch
